"","Variable","Term","Beta","StandardError","Z","P","LRT","Wald","LogRank","HR","HRlower","HRupper"
"44","ZNF184","ZNF1842",-0.352441305012204,0.411219809565927,-0.857063051958103,0.391410039392499,0.390290522425582,0.391410039392499,0.389012112700917,0.702969829405399,0.313982721552483,1.57386552550044
"45","ZNF225","ZNF2252",0.357322125783013,0.456471549838512,0.782791667759852,0.433749461316816,0.434476167768456,0.433749461316816,0.431518871816763,1.42949627330234,0.584297112135995,3.49729538781232
"46","RNF146","RNF1462",0.31444240472515,0.402439554777329,0.781340703199844,0.434602136500504,0.431719973448019,0.434602136500504,0.432844079804491,1.36949547381567,0.622305201711827,3.01382319743184
"47","FBXO9","FBXO92",-0.276716169037757,0.356331770076714,-0.776568895269101,0.437413158839431,0.436857271626639,0.437413158839431,0.435999756833486,0.758269686985186,0.377149505084096,1.52452253138289
"48","NOL8","NOL82",0.311708596588306,0.423365963239534,0.736262769456378,0.461570799008258,0.456705812857465,0.461570799008258,0.459794127961916,1.36575664888956,0.595667029338147,3.13143271679579
"49","ZNF627","ZNF6272",-0.308311412671584,0.421981976563313,-0.730626969385091,0.465007034256512,0.460092015704399,0.465007034256512,0.463247487765527,0.734686491698055,0.321299718541202,1.67993997484433
"50","ZNF600","ZNF6002",0.300776305299884,0.416857326898571,0.72153297037542,0.470581662895541,0.464807249966416,0.470581662895541,0.469002887138516,1.35090711697384,0.596754757101243,3.05812398975307
"51","TRMT10B","TRMT10B2",0.274585957714835,0.388073166657109,0.707562339545758,0.47921708695552,0.475604107385787,0.47921708695552,0.47785918465693,1.31598568833003,0.615067370098563,2.8156563265776
"52","RFX3","RFX32",0.236986405475523,0.350411680199111,0.676308521853102,0.49884478331154,0.497793552949063,0.49884478331154,0.497852997197733,1.2674238876331,0.637750672497088,2.51879516591234
"53","ZNF799","ZNF7992",0.248794962424171,0.368091538303357,0.67590513916984,0.499100874636292,0.49843979679066,0.499100874636292,0.498029645029063,1.28247904971459,0.623347459558957,2.63858059856468
"54","ZNF565","ZNF5652",0.230479814435279,0.368239827941641,0.625895943205269,0.531383195602471,0.5318384706538,0.531383195602471,0.530517002147472,1.2592040492843,0.611856815157874,2.59144753879198
"55","ZKSCAN4","ZKSCAN42",0.258166734249818,0.421901293141606,0.611912640341604,0.540595558037153,0.538877510038701,0.540595558037153,0.539490941514096,1.29455464722868,0.566235842141207,2.95967088258509
"56","ZNF432","ZNF4322",0.233433329126882,0.394151617156301,0.59224247463715,0.553688230685085,0.554097022201905,0.553688230685085,0.552811148352231,1.2629286245299,0.583279001738293,2.73452105408149
"57","INVS","INVS2",-0.228812009967871,0.390425288464602,-0.58605837461939,0.557836287471526,0.556689791063285,0.557836287471526,0.557014075376354,0.795478061396097,0.370081689969314,1.70985315759599
"58","FBXL4","FBXL42",-0.241043115151101,0.423596657579025,-0.56903922832803,0.569329518524319,0.565954053739139,0.569329518524319,0.568417590204403,0.785807745438279,0.342570669595833,1.8025297189608
"59","ZNF473","ZNF4732",0.212709956471756,0.388163915996018,0.54799003128858,0.583698747781648,0.582574070979294,0.583698747781648,0.582998555004911,1.23702580787617,0.578060156359707,2.64718616655441
"60","URI1","URI12",0.236702884661601,0.444388305457918,0.532648770803479,0.594276734728934,0.592718385735298,0.594276734728934,0.593451285220744,1.26706459751642,0.530316018299361,3.027350935821
"61","ZBTB5","ZBTB52",-0.17613750415995,0.335480649998981,-0.525030293581716,0.599562132020817,0.599844166658752,0.599562132020817,0.599105262873729,0.838502677803433,0.43445300641695,1.61832633288022
"62","ZFP14","ZFP142",-0.208903431451455,0.410657343578378,-0.508704969527918,0.610959038533779,0.610244533223869,0.610959038533779,0.610319451914117,0.811473594687063,0.362845906496717,1.81479075024456
"63","ZNF451","ZNF4512",-0.268800672130263,0.546311120311508,-0.492028556872487,0.62269915596776,0.61759404010665,0.62269915596776,0.62171348190076,0.764295585876847,0.261963318094848,2.22988373654411
"64","ZNF224","ZNF2242",0.183071009326126,0.382152908867735,0.479051722695348,0.631901833268957,0.631413825666451,0.631901833268958,0.631448783228506,1.20089968013027,0.567829018899461,2.53977868995162
"65","ZNF136","ZNF1362",-0.162476725764299,0.360675529583564,-0.450478927560998,0.652365145201347,0.652253814595635,0.652365145201347,0.652015130807521,0.850035873930456,0.419208120872331,1.72363308579313
"66","GCNT1","GCNT12",-0.161401924003885,0.359935898855615,-0.448418522623191,0.653851176432784,0.654299916473563,0.653851176432784,0.653502840103058,0.850949985140342,0.420267728279549,1.72298710675374
"67","ZNF302","ZNF3022",0.176895015633501,0.394868476354785,0.447984648626553,0.654164275757645,0.653660042071531,0.654164275757645,0.653751463842263,1.1935057871007,0.550442391079659,2.58783859478713
"68","ZNF780B","ZNF780B2",0.190880111106057,0.438338369751611,0.435462930644702,0.663226440369302,0.662991526687959,0.663226440369302,0.662755521019514,1.21031434013526,0.512606232435299,2.85767263300283
"69","ZNF440","ZNF4402",-0.178904639483609,0.423148790420633,-0.422793692274926,0.672445790191163,0.671479735039042,0.672445790191163,0.672048476815397,0.836185634689099,0.364852896906188,1.91640636977097
"70","ZSCAN16","ZSCAN162",0.183150284094254,0.437657993151173,0.418478096962327,0.675597597412132,0.674202262498771,0.675597597412132,0.675188734545186,1.20099488494758,0.509337906095382,2.83188958922711
"71","ZNF45","ZNF452",-0.174433148746773,0.419893105709091,-0.415422750159712,0.677832455216905,0.677603386520612,0.677832455216905,0.67745771555034,0.839933002926256,0.368834032223695,1.91275041826088
"72","ZNF181","ZNF1812",-0.164349732163003,0.395593349916799,-0.415451200576473,0.67781163181353,0.678599859996848,0.67781163181353,0.67748033790481,0.848445241396928,0.390745646739875,1.84227088300311
"73","FKTN","FKTN2",-0.13961906795529,0.366765067643535,-0.380677115332555,0.703442851883675,0.703548560885672,0.703442851883675,0.703219177794023,0.869689464892961,0.423811969053992,1.7846588123363
"74","KDM4C","KDM4C2",0.130770589274952,0.355978968456741,0.367354818296922,0.713354368893964,0.713073939516868,0.713354368893964,0.713164569264485,1.1397062904723,0.567261224382214,2.28982763621248
"75","SECISBP2","SECISBP22",-0.120687768471296,0.334310394534972,-0.361005133086493,0.718095609825717,0.718184135122588,0.718095609825717,0.717934446044261,0.886310650524131,0.460278240633538,1.70667761341762
"76","C6orf62","C6orf622",0.129607204958486,0.369861611735964,0.350420808340091,0.726022912378498,0.725378412447353,0.726022912378498,0.725842303993014,1.13838114502476,0.55139258211229,2.35025220394418
"77","GOPC","GOPC2",-0.140555027148135,0.42513988153595,-0.330608896630295,0.740939925249902,0.739631590269087,0.740939925249902,0.740742676422531,0.868875851857069,0.377640013129637,1.99911349351953
"78","AGTPBP1","AGTPBP12",-0.116404345110284,0.378524430013176,-0.307521353658025,0.758446572094495,0.758511342130834,0.758446572094495,0.75831557566874,0.890115236779402,0.423882665141518,1.86916144467085
"79","ZNF441","ZNF4412",-0.0975359087415212,0.341103933423672,-0.285941905631371,0.774922617037669,0.774668948667998,0.774922617037669,0.774838464092012,0.907069769237104,0.464828232905906,1.77006366657252
"80","SPICE1","SPICE12",0.109564750215743,0.388468330371121,0.282042940568852,0.777910584465367,0.777834119258043,0.777910584465367,0.777807628722633,1.11579231638938,0.521096941475531,2.38917635898663
"81","ZNF230","ZNF2302",-0.10716395024977,0.380435137999463,-0.281687834655067,0.778182883454629,0.777956640179522,0.77818288345463,0.778081796441254,0.898378371557177,0.426218514587833,1.89359136419074
"82","ZNF776","ZNF7762",-0.113405149715519,0.411695248982209,-0.275458971158589,0.782963643205784,0.782684344609214,0.782963643205784,0.782853372707462,0.89278887367394,0.398394320029696,2.00071118708863
"83","ZNF555","ZNF5552",0.114802336269319,0.434895448017665,0.263976863387764,0.791797746925076,0.791806701875169,0.791797746925076,0.791697107766764,1.1216517057978,0.47827132649239,2.63052054227453
"84","ZNF283","ZNF2832",-0.11472523426868,0.445636697155649,-0.257441173496109,0.796838221818917,0.796328975874483,0.796838221818917,0.796734701688268,0.891611094427699,0.372262097031665,2.13551245223587
"85","UBAP2","UBAP22",0.0915188329077176,0.355688217145155,0.257300715897398,0.796946639848494,0.796970483175673,0.796946639848494,0.79687946541763,1.0958374143031,0.545737459425802,2.20043469226027
"86","ZNF566","ZNF5662",0.104353181546265,0.439482570165386,0.23744555217968,0.81231115443567,0.812205354073498,0.81231115443567,0.812230290108351,1.10999241453236,0.469063639515258,2.62668656558554
"87","PHF10","PHF102",-0.0801518157715257,0.393614341465661,-0.203630323715017,0.838642394704305,0.838664573582113,0.838642394704305,0.838600683234938,0.922976213403769,0.426722334039226,1.996345216913
"88","ZNF443","ZNF4432",-0.0717019434368934,0.367507196476271,-0.195103508514623,0.845311915962346,0.845319883396732,0.845311915962346,0.845280246792384,0.930808287989102,0.452936738849573,1.91285889325252
"89","CDKAL1","CDKAL12",0.0799987327547761,0.418620146838844,0.191101009731319,0.848446456565916,0.848550336651415,0.848446456565916,0.84840717382575,1.08328569488547,0.476884155463747,2.46078189702551
"90","MLLT3","MLLT32",0.0674087919397281,0.362467946381969,0.185971732432011,0.852466928854345,0.852325407983678,0.852466928854345,0.852439997618688,1.06973268690488,0.525704858877045,2.17674994269052
"91","ZNF227","ZNF2272",-0.0870471952092095,0.479398538808151,-0.181575845903954,0.855915605892366,0.856147905719117,0.855915605892366,0.855873073525652,0.916633833886728,0.358204557708918,2.34563622193957
"92","KLHL9","KLHL92",0.0596742577526611,0.382405514857372,0.156049678768148,0.875993862842638,0.875828732297909,0.875993862842638,0.875975759035428,1.06149071785095,0.501662960171369,2.2460548885228
"93","LSM14A","LSM14A2",0.0585051822801107,0.382822536430555,0.15282585718598,0.878535606170486,0.878557793326131,0.878535606170486,0.878519411122352,1.06025048019534,0.500667434555802,2.24526502657754
"94","ZNF507","ZNF5072",0.060187434538335,0.4019601709301,0.149734821733871,0.880973834108045,0.881032064784195,0.880973834108045,0.880956400903016,1.06203559004148,0.483047626933047,2.3350070088867
"95","DPY19L3","DPY19L32",0.0550665848806336,0.375612319426729,0.146604842366933,0.883443931330174,0.883494204389376,0.883443931330174,0.883430107335487,1.05661096664837,0.506049882091334,2.20615946046225
"96","ZNF226","ZNF2262",-0.053946168020303,0.427041947164643,-0.126325220223634,0.899474493322688,0.899582608558919,0.899474493322688,0.899463207619088,0.947483110020518,0.410272787830072,2.18811549389421
"97","ZNF506","ZNF5062",0.0525583646879094,0.419721626391264,0.125221959944743,0.90034783255663,0.900389159593698,0.90034783255663,0.900336780161714,1.05396407456772,0.462975609026662,2.39934944481151
"98","ERMP1","ERMP12",-0.040678314743321,0.365675403349008,-0.111241593967688,0.911424769079485,0.91133388559902,0.911424769079485,0.911418832108861,0.960137942495393,0.468889129873816,1.96606150555755
"99","PLAA","PLAA2",-0.0374698542796692,0.359953844167599,-0.10409627480523,0.917092947073834,0.917121696234174,0.917092947073834,0.917088522835874,0.963223454348025,0.475700690050442,1.95038485840279
"100","ZNF146","ZNF1462",0.041963689406392,0.408991531763784,0.102602831959437,0.918278195126268,0.91828098396196,0.918278195126268,0.918272284131323,1.04285661132067,0.467832486095333,2.32465667541012
"101","ZNF780A","ZNF780A2",0.0386774485145966,0.418340593049059,0.0924544477806886,0.92633698155275,0.92641344968594,0.92633698155275,0.926332655636574,1.03943515821894,0.457831051031721,2.35987805044438
"102","UFL1","UFL12",0.0258409975081761,0.361062797382138,0.0715692607921241,0.942944703655927,0.942937212797389,0.942944703655927,0.942943160046671,1.02617777067836,0.505691195525152,2.08237917992785
"103","PTPDC1","PTPDC12",0.0234799080406524,0.374026804388849,0.0627760036583955,0.949944874477821,0.94995156969713,0.949944874477821,0.949943768030931,1.02375773124127,0.491841308698371,2.13093100099696
"104","ZNF260","ZNF2602",-0.0287149574747403,0.488427105982706,-0.0587906713673607,0.953118838780266,0.953132293445128,0.953118838780266,0.953117276505897,0.97169339893589,0.373060567085859,2.53092431856589
"105","ZNF765","ZNF7652",0.0205214333453328,0.412969003857144,0.0496924300702037,0.960367488937397,0.960378183617641,0.960367488937397,0.960366822027439,1.02073344574117,0.454352049983995,2.29314859983872
"106","ZNF17","ZNF172",0.0149641737969882,0.410384323718699,0.036463804614636,0.970912539237804,0.970912759643002,0.970912539237804,0.970912275911561,1.01507669762044,0.454128845514667,2.26891709749085
"107","RNF38","RNF382",-0.0131125078209061,0.37483889069807,-0.0349817165355665,0.972094320040665,0.972092625198872,0.972094320040665,0.972094129644837,0.986973086582231,0.473414840521706,2.05763696077667
"108","TSTD2","TSTD22",0.00873950939322029,0.395686705018624,0.0220869422256908,0.982378602531005,0.982378517805975,0.982378602531005,0.982378549160231,1.00877781040147,0.464500714923479,2.19080969751796
