"","Variable","LogRank","logFC","adj.P.Val"
"70","ZNF230",0.778081796441254,-0.471148955074731,1
"71","ZNF260",0.953117276505897,0.441567956539565,1
"72","ZNF283",0.796734701688268,-0.136477259259037,1
"73","ZNF302",0.653751463842263,-1.57875326489615,5.49647970090634e-72
"74","ZNF322",0.382780975146214,-0.0679143572481227,1
"75","ZNF383",0.30215924384756,-0.721158812025576,0.000145687686858609
"76","ZNF432",0.552811148352231,-0.463980224101211,1
"77","ZNF440",0.672048476815397,0.30047075379519,1
"78","ZNF441",0.774838464092012,-0.948312686498788,3.45074846206973e-12
"79","ZNF443",0.845280246792384,0.745103069438334,0.00110818949166146
"80","ZNF45",0.67745771555034,-0.261038137747105,1
"81","ZNF451",0.62171348190076,-0.437815956016842,1
"82","ZNF473",0.582998555004911,0.685951654223568,0.00528203718334459
"83","ZNF506",0.900336780161714,-0.501891929745316,1
"84","ZNF507",0.880956400903016,-0.108578127704488,1
"85","ZNF510",0.0961404054419456,-0.487867097830767,1
"86","ZNF555",0.791697107766764,-0.599004658100591,0.503201804324214
"87","ZNF557",0.196135744043019,0.369227410579356,1
"88","ZNF561",0.258607504213705,-0.0498649333200607,1
"89","ZNF562",0.335243495912451,0.3594855597296,1
"90","ZNF564",0.0919878536748564,-0.086257751668501,1
"91","ZNF565",0.530517002147472,0.0439785191193978,1
"92","ZNF566",0.812230290108351,-0.0896008003717936,1
"93","ZNF585A",0.255003676280565,-0.69550292032061,0.00616266361585064
"94","ZNF600",0.469002887138516,0.0669237841981576,1
"95","ZNF616",0.285189198434345,0.375882162806287,1
"96","ZNF627",0.463247487765527,0.599598379965268,0.492443105647643
"97","ZNF761",0.327239419810674,0.209077328806856,1
"98","ZNF765",0.960366822027439,0.0383481189154637,1
"99","ZNF766",0.0664625032727173,0.255478472632846,1
"100","ZNF776",0.782853372707462,-0.684423020507011,0.00579458630706488
"101","ZNF780A",0.926332655636574,-0.149261484379585,1
"102","ZNF780B",0.662755521019514,-1.14944535653796,6.59155056359716e-29
"103","ZNF799",0.498029645029063,0.320670833551337,1
"104","ZNF823",0.331807292316952,0.552887602579703,1
"105","ZSCAN12",0.0705216238577863,-0.842986623133116,9.57195701969325e-08
"106","ZSCAN16",0.675188734545186,0.646170760603596,0.133562986677045
"107","ZSCAN26",0.0519375585299606,-1.29634531978872,6.77429154310602e-38
"108","ZSCAN9",0.0629081270118963,-0.723721138105091,4.31873684156064e-05
